"TITLE_ID","PERSON_ID","PERSON_ROLE"
33500771,6102337,"director"
33500928,10543452,"actor"
33502196,1217604,"producer"
33502668,11103376,"writer"
33503753,1481506,"actress"
33503839,6013612,"casting_director"
33504234,16564372,"production_designer"
33504293,757098,"composer"
3350526,1241578,"actor"
3350614,6068492,"actor"
33506150,1961506,"writer"
33507730,16564866,"actor"
3350826,5822362,"actor"
33508465,16565830,"actress"
33508532,16565896,"editor"
33508857,2144032,"actor"
33508872,1792521,"producer"
33510062,16567198,"composer"
33511449,755417,"actor"
33512139,1928542,"actor"
33512795,12876516,"producer"
33512847,16569831,"actress"
33512847,16569828,"actor"
33512887,16569932,"producer"
33512960,13841,"producer"
33514925,13093510,"producer"
3351718,3297534,"actor"
33517459,14710306,"composer"
33522719,1427150,"cinematographer"
3352294,4103940,"editor"
33523851,18379406,"actor"
3352390,2279441,"writer"
33525840,383034,"cinematographer"
33528025,10813345,"writer"
3353358,6107535,"composer"
3353700,6356078,"producer"
33537585,11294423,"cinematographer"
33538438,13578430,"actress"
3353896,1249047,"actress"
3354306,1145982,"actress"
33547983,2920568,"actor"
33548187,1134580,"actor"
33549478,3418687,"writer"
33549478,3971659,"production_designer"
33549764,5241944,"self"
33549764,2276454,"director"
33550089,2315004,"producer"
33550838,11139471,"actress"
33551367,916131,"writer"
3355138,6108897,"self"
3355434,6098361,"actor"
3355532,6109388,"director"
3355612,6247151,"actor"
33557491,16576986,"composer"
3355854,1591928,"actor"
33558823,2339020,"actor"
3355902,1191864,"actor"
33559521,15043555,"actress"
33559521,16577331,"actor"
33563881,3596195,"actor"
33563902,16578154,"actress"
33564673,16578204,"cinematographer"
3356470,2229475,"director"
3356550,270446,"self"
33566971,4767054,"editor"
33566975,13110757,"actor"
33567865,13615010,"actor"
33570211,143124,"actor"
33572267,6717996,"actor"
3357354,3424328,"actor"
3357746,6109916,"actor"
33581992,12294163,"director"
3358470,3500190,"writer"
3358470,585747,"producer"
3358508,211144,"actor"
33588578,2336141,"production_designer"
33588950,13026492,"actress"
33591738,16581659,"composer"
3359622,5772118,"cinematographer"
3359650,48127,"actor"
3359650,1376257,"producer"
33600145,6747063,"self"
3360110,611568,"actor"
3360148,6114054,"actor"
33603284,16582411,"actor"
33603284,6390193,"actress"
3360376,2954398,"editor"
33610209,15766657,"writer"
33610541,5288828,"actor"
33610673,13908027,"actress"
3361558,6115360,"producer"
3362124,126064,"actress"
3362238,4894287,"director"
3362574,6028773,"actor"
3362830,1949362,"actor"
3363206,3999283,"cinematographer"
33634035,16585719,"writer"
33635269,13622351,"actor"
33636027,13042443,"producer"
33636489,16586111,"actress"
33637931,16586172,"actor"
3364066,2343859,"actor"
